episode_id,episode_index,top_video_path,wrist_video_path,frame_index,timestamp_sec,top_point_x,top_point_y,wrist_point_x,wrist_point_y,shape_word,prompt,top_raw_frame_path,top_marked_frame_path,top_marked_video_path,wrist_raw_frame_path,wrist_marked_frame_path,wrist_marked_video_path,saved_at
episode_000000,0,/home/yan/myProjects/GenMem/annotation/observation.images.top/episode_000000.mp4,/home/yan/myProjects/GenMem/annotation/observation.images.wrist/episode_000000.mp4,3,0.3,81,76,36,63,T-shaped,"Observe the shapes shown, wait, then touch the object which is T-shaped.",/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/top/episode_000000_frame_000003.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/top/episode_000000_frame_000003_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/top/episode_000000_frame_000003_red_point_from_here.mp4,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/wrist/episode_000000_frame_000003.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/wrist/episode_000000_frame_000003_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/wrist/episode_000000_frame_000003_red_point_from_here.mp4,2026-06-22T01:21:50.696182+00:00
episode_000001,1,/home/yan/myProjects/GenMem/annotation/observation.images.top/episode_000001.mp4,/home/yan/myProjects/GenMem/annotation/observation.images.wrist/episode_000001.mp4,6,0.6,73,78,54,57,square,"Observe the shapes shown, wait, then touch the object which is square.",/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/top/episode_000001_frame_000006.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/top/episode_000001_frame_000006_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/top/episode_000001_frame_000006_red_point_from_here.mp4,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/wrist/episode_000001_frame_000006.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/wrist/episode_000001_frame_000006_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/wrist/episode_000001_frame_000006_red_point_from_here.mp4,2026-06-22T01:27:46.639431+00:00
episode_000002,2,/home/yan/myProjects/GenMem/annotation/observation.images.top/episode_000002.mp4,/home/yan/myProjects/GenMem/annotation/observation.images.wrist/episode_000002.mp4,6,0.6,49,75,97,57,square-like,"Observe the shapes shown, wait, then touch the object which is square-like.",/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/top/episode_000002_frame_000006.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/top/episode_000002_frame_000006_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/top/episode_000002_frame_000006_red_point_from_here.mp4,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/wrist/episode_000002_frame_000006.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/wrist/episode_000002_frame_000006_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/wrist/episode_000002_frame_000006_red_point_from_here.mp4,2026-06-22T01:28:01.832443+00:00
episode_000003,3,/home/yan/myProjects/GenMem/annotation/observation.images.top/episode_000003.mp4,/home/yan/myProjects/GenMem/annotation/observation.images.wrist/episode_000003.mp4,8,0.8,47,60,103,91,star-shaped,"Observe the shapes shown, wait, then touch the object which is star-shaped.",/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/top/episode_000003_frame_000008.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/top/episode_000003_frame_000008_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/top/episode_000003_frame_000008_red_point_from_here.mp4,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/wrist/episode_000003_frame_000008.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/wrist/episode_000003_frame_000008_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/wrist/episode_000003_frame_000008_red_point_from_here.mp4,2026-06-22T01:29:01.611004+00:00
episode_000004,4,/home/yan/myProjects/GenMem/annotation/observation.images.top/episode_000004.mp4,/home/yan/myProjects/GenMem/annotation/observation.images.wrist/episode_000004.mp4,10,1.0,82,68,32,75,star-shaped,"Observe the shapes shown, wait, then touch the object which is star-shaped.",/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/top/episode_000004_frame_000010.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/top/episode_000004_frame_000010_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/top/episode_000004_frame_000010_red_point_from_here.mp4,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/wrist/episode_000004_frame_000010.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/wrist/episode_000004_frame_000010_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/wrist/episode_000004_frame_000010_red_point_from_here.mp4,2026-06-22T01:29:12.121630+00:00
episode_000005,5,/home/yan/myProjects/GenMem/annotation/observation.images.top/episode_000005.mp4,/home/yan/myProjects/GenMem/annotation/observation.images.wrist/episode_000005.mp4,10,1.0,79,73,44,65,square,"Observe the shapes shown, wait, then touch the object which is square.",/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/top/episode_000005_frame_000010.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/top/episode_000005_frame_000010_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/top/episode_000005_frame_000010_red_point_from_here.mp4,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/wrist/episode_000005_frame_000010.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/wrist/episode_000005_frame_000010_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/wrist/episode_000005_frame_000010_red_point_from_here.mp4,2026-06-22T01:29:31.253903+00:00
episode_000006,6,/home/yan/myProjects/GenMem/annotation/observation.images.top/episode_000006.mp4,/home/yan/myProjects/GenMem/annotation/observation.images.wrist/episode_000006.mp4,8,0.8,81,68,39,79,square,"Observe the shapes shown, wait, then touch the object which is square.",/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/top/episode_000006_frame_000008.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/top/episode_000006_frame_000008_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/top/episode_000006_frame_000008_red_point_from_here.mp4,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/wrist/episode_000006_frame_000008.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/wrist/episode_000006_frame_000008_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/wrist/episode_000006_frame_000008_red_point_from_here.mp4,2026-06-22T01:29:42.071038+00:00
episode_000007,7,/home/yan/myProjects/GenMem/annotation/observation.images.top/episode_000007.mp4,/home/yan/myProjects/GenMem/annotation/observation.images.wrist/episode_000007.mp4,4,0.4,77,81,44,64,T-shaped,"Observe the shapes shown, wait, then touch the object which is T-shaped.",/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/top/episode_000007_frame_000004.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/top/episode_000007_frame_000004_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/top/episode_000007_frame_000004_red_point_from_here.mp4,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/wrist/episode_000007_frame_000004.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/wrist/episode_000007_frame_000004_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/wrist/episode_000007_frame_000004_red_point_from_here.mp4,2026-06-22T01:29:57.324330+00:00
episode_000008,8,/home/yan/myProjects/GenMem/annotation/observation.images.top/episode_000008.mp4,/home/yan/myProjects/GenMem/annotation/observation.images.wrist/episode_000008.mp4,4,0.4,66,82,64,52,star-shaped,"Observe the shapes shown, wait, then touch the object which is star-shaped.",/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/top/episode_000008_frame_000004.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/top/episode_000008_frame_000004_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/top/episode_000008_frame_000004_red_point_from_here.mp4,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/wrist/episode_000008_frame_000004.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/wrist/episode_000008_frame_000004_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/wrist/episode_000008_frame_000004_red_point_from_here.mp4,2026-06-22T01:30:23.858306+00:00
episode_000009,9,/home/yan/myProjects/GenMem/annotation/observation.images.top/episode_000009.mp4,/home/yan/myProjects/GenMem/annotation/observation.images.wrist/episode_000009.mp4,4,0.4,79,74,52,70,plus-shaped,"Observe the shapes shown, wait, then touch the object which is plus-shaped.",/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/top/episode_000009_frame_000004.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/top/episode_000009_frame_000004_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/top/episode_000009_frame_000004_red_point_from_here.mp4,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/raw_frames/wrist/episode_000009_frame_000004.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_frames/wrist/episode_000009_frame_000004_red_point.png,/home/yan/myProjects/GenMem/annotation/shape_prompt_annotations/marked_videos/wrist/episode_000009_frame_000004_red_point_from_here.mp4,2026-06-22T01:30:40.103413+00:00
